"","State","County","Year","annual_median_income","prevalence_asthma_adults_age_adjusted","COPD_deaths_age_adjusted","percent_educ","percent_female","percent_no_leisure","percent_nonwhite","percent_obesity","percent_poverty","smoking_crude"
"209","Arizona","Mohave",2018,45129,10.8,74.7,85.3,49.5,26.3,8.2,29,16.8,21.8
"210","Arizona","Mohave",2019,49712,10.1,69.1,83.7,49.5,31.1,8.4,32.3,16,19
"211","Arizona","Navajo",2018,40650,12.9,69.8,82.8,50,26,49.5,32.7,28.5,22.1
"212","Arizona","Navajo",2019,40676,11.7,60.4,81.4,50,28.4,49.5,37.8,25.2,19.6
"213","Arizona","Pima",2018,53395,10.4,56.8,88.3,50.8,21.9,15.2,29.7,16.2,15.8
"214","Arizona","Pima",2019,56150,9.5,52.5,81.9,50.8,23.4,15.3,30.8,14,13.5
"215","Arizona","Pinal",2018,58848,10.7,58.1,85.4,48,26.3,17.4,37.7,12.9,18
"216","Arizona","Pinal",2019,62067,9.5,52.6,81.7,48.1,31.2,17.4,34.6,12.1,16.9
"217","Arizona","Santa Cruz",2018,40545,9.5,60.2,75.6,51.7,27.9,4.3,36.5,24.4,14.8
"218","Arizona","Santa Cruz",2019,47779,9.1,56.2,72.2,51.8,32.1,4.4,37.1,18.8,13.8
"219","Arizona","Yavapai",2018,48758,10.6,63.2,90.3,51.1,20.5,6.6,27.6,13.2,15.6
"220","Arizona","Yavapai",2019,54242,10.2,57,86.3,51.1,24.4,6.7,27.8,12,15.5
"221","Arizona","Yuma",2018,44116,10.1,56.4,72.1,48.6,26.9,8.7,38.5,19.5,15.5
"222","Arizona","Yuma",2019,47024,9.5,51.2,70.8,48.5,29.7,8.8,38.4,20.4,14.4
"223","Arkansas","Arkansas",2018,43887,10.8,90.1,83,51.8,35.2,28.1,38.3,17.9,23.2
"224","Arkansas","Arkansas",2019,52539,10.5,87.8,80.9,51.7,33.6,28.5,36.8,15.8,22.5
"225","Arkansas","Ashley",2018,41127,10.8,97.6,82.3,51.7,37.9,27.3,37.8,19.6,24.1
"226","Arkansas","Ashley",2019,47744,10.3,82.7,82,51.6,35.7,27.3,39.1,18.5,22.9
"227","Arkansas","Baxter",2018,39686,9.8,106.8,88.2,51.6,29.4,3.3,32.7,15.1,20.6
"228","Arkansas","Baxter",2019,41950,9.7,97.2,85.7,51.5,27.9,3.5,32,12.7,19.4
"229","Arkansas","Benton",2018,68978,9,82.1,88.1,50.3,26.7,11.4,32.6,8.6,18.7
"230","Arkansas","Benton",2019,70775,8.8,75.4,79.3,50.2,26.5,11.7,29.8,8.9,16.6
"231","Arkansas","Boone",2018,44482,10.1,68.1,87,50.8,33,4,32.3,14.8,23
"232","Arkansas","Boone",2019,50083,10,70.8,84.5,50.8,33.6,4,32.4,15.1,21.3
"233","Arkansas","Bradley",2018,37729,10.6,106.1,82,51.6,36.1,31.4,36.9,21.7,23.7
"234","Arkansas","Bradley",2019,39982,10,89.1,79,51.3,37.3,31.4,38.3,22.9,22
"235","Arkansas","Calhoun",2018,44969,10.4,111.7,82.7,49.5,34.8,24.2,37.8,15.7,24.1
"236","Arkansas","Calhoun",2019,48415,10.2,86.2,84.2,49.4,34.4,24.5,38.9,15.4,22
"237","Arkansas","Carroll",2018,45023,9.4,81.2,85.8,50.5,32.2,7.1,35,16.1,20.7
"238","Arkansas","Carroll",2019,43841,9.3,68.9,80.7,50.3,32.6,8,33.9,14.7,19.2
"239","Arkansas","Chicot",2018,31787,11.2,90.5,80.7,49.4,39.7,56.8,42.1,31.4,24.6
"240","Arkansas","Chicot",2019,37014,11.1,89.9,78.1,49.6,38.9,56.9,44.6,31,23.7
"241","Arkansas","Clark",2018,45408,10.2,104.7,89.2,52.6,32.2,27.6,35.6,19.9,18.8
